name,rating,rating_values,reviews,jobs,interviews
IPCS GLOBAL SOLUTIONS PVT LTD,4.5,"Skill Development / Learning, Work Life Balance, Work Satisfaction",218,9,60
Albert David,3.5,"Promotions / Appraisal, Company Culture, Work Satisfaction",218,1,18
Schott Poonawalla,3.5,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",219,6,8
Kalyani Maxion Wheels,4.1,Job Security,218,--,6
S&IB Services,3.9,"Work Life Balance, Company Culture, Job Security",218,--,6
Pha India,4.0,Job Security,218,--,6
D'Decor Home Fabrics,4.1,"Work Life Balance, Job Security, Company Culture",218,9,18
TRF,3.7,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",218,--,11
Infosearch BPO Services,4.2,"Job Security, Company Culture, Work Satisfaction",218,7,12
Nielsen Sports,3.8,"Work Life Balance, Company Culture",218,39,8
Teerthanker Mahaveer University,3.4,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",218,33,10
Elevate Services,3.1,"Promotions / Appraisal, Job Security, Work Satisfaction",218,2,21
Greenway Health,2.9,"Job Security, Promotions / Appraisal, Skill Development / Learning",220,11,28
Reliance Smart Bazaar,4.0,"Skill Development / Learning, Job Security, Company Culture",219,--,11
Essae Digitronics,4.1,"Skill Development / Learning, Company Culture, Work Life Balance",218,--,12
Steelman Telecom,3.8,"Promotions / Appraisal, Job Security, Salary & Benefits",218,--,8
Airtel Africa,2.8,"Promotions / Appraisal, Company Culture, Work Satisfaction",218,4,38
Purnartha Investment Advisors,4.1,"Work Life Balance, Company Culture, Work Satisfaction",218,6,20
XenonStack,3.2,"Company Culture, Work Life Balance, Work Satisfaction",217,80,33
United India Insurance Company,4.5,"Work Life Balance, Job Security, Company Culture",217,--,10
MKCL,3.6,"Job Security, Work Life Balance",217,2,16
PIT Solutions,4.1,"Work Life Balance, Company Culture, Work Satisfaction",217,13,17
Shangri-la Hotels & Resorts,4.3,"Skill Development / Learning, Company Culture, Job Security",217,--,5
SRR Projects,4.0,"Salary & Benefits, Company Culture, Work Satisfaction",216,3,16
MINISO,3.7,"Promotions / Appraisal, Job Security, Salary & Benefits",216,3,19
Sutlej Textiles and Industries,3.7,Work Life Balance,217,--,8
Numerator,4.0,"Company Culture, Work Life Balance, Work Satisfaction",217,153,32
Aditya Birla Money,3.9,"Job Security, Work Life Balance, Company Culture",217,--,22
Zota Health Care,3.6,Promotions / Appraisal,217,9,23
Epicor Software Corporation,3.2,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",217,1,26
Neogen Chemicals,3.9,"Job Security, Salary & Benefits",217,5,16
ONLEI Technologies,4.9,"Work Life Balance, Skill Development / Learning, Company Culture",217,2,24
Coastal Marine Construction & Engineering,4.2,"Work Life Balance, Job Security, Company Culture",217,20,23
Tide - Business Management Platform,3.7,"Work Life Balance, Salary & Benefits",217,94,39
Wave Infratech,4.0,"Work Life Balance, Job Security, Company Culture",217,6,27
Emirates Airlines,3.9,"Work Life Balance, Skill Development / Learning",217,9,25
Sanghvi Movers,4.3,"Skill Development / Learning, Salary & Benefits, Company Culture",217,13,34
Prithvi Innerwears Private Limited,4.8,"Company Culture, Work Life Balance, Job Security",216,--,47
Blazeclan Technologies,3.6,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",216,--,21
KFA Consultant,1.3,"Company Culture, Work Life Balance, Work Satisfaction",216,--,3
Software AG,4.3,"Company Culture, Work Life Balance, Work Satisfaction",216,--,25
Learning Links Foundation,4.1,"Work Satisfaction, Company Culture, Work Life Balance",216,16,13
Adani Airport Holdings,3.1,"Promotions / Appraisal, Company Culture, Work Satisfaction",216,--,17
Akbar Travels,3.4,"Promotions / Appraisal, Salary & Benefits, Company Culture",216,2,13
Ibis,4.4,"Company Culture, Job Security, Work Life Balance",216,--,7
Faiveley Transport,4.0,"Company Culture, Work Life Balance, Skill Development / Learning",216,26,13
Balasore Alloys,3.3,"Promotions / Appraisal, Job Security, Company Culture",216,11,15
Zones Corporate Solutions,2.9,"Promotions / Appraisal, Company Culture, Work Satisfaction",216,16,21
UPS Supply Chain Solutions,3.7,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",216,--,12
Copart,3.1,"Promotions / Appraisal, Skill Development / Learning, Company Culture",216,2,31
Man Industries,3.5,Job Security,216,3,14
20Cube Logistics,3.7,"Promotions / Appraisal, Work Satisfaction, Company Culture",216,--,19
Mayur Uniquoters,4.0,Work Life Balance,216,3,13
Pattern Technologies,4.4,"Company Culture, Work Life Balance, Work Satisfaction",216,57,71
Marine Electricals,3.7,"Promotions / Appraisal, Salary & Benefits, Company Culture",217,2,25
Merkle,3.4,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",216,--,28
Valenta AI Private Limited,4.4,"Work Life Balance, Company Culture, Work Satisfaction",216,12,31
Mvs Acmei Technologies,4.0,"Job Security, Work Life Balance, Work Satisfaction",216,1,16
SIAC SKH India Cabs Manufacturing,3.8,"Work Life Balance, Job Security",215,--,23
Ichhapurti.com,2.4,"Job Security, Work Satisfaction, Salary & Benefits",215,--,20
Droom,3.3,"Job Security, Promotions / Appraisal, Skill Development / Learning",215,17,21
VisionTek,3.5,"Promotions / Appraisal, Company Culture, Skill Development / Learning",215,3,15
Hippo Homes,3.5,"Job Security, Work Satisfaction, Promotions / Appraisal",215,--,14
Garden Silk Mills,3.6,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",215,--,5
Steril Gene Life Sciences,3.8,"Job Security, Skill Development / Learning, Work Life Balance",215,--,15
Shri Mahavir Ferro Alloys,3.4,"Promotions / Appraisal, Company Culture, Work Satisfaction",220,--,16
HEG,3.7,"Promotions / Appraisal, Salary & Benefits, Company Culture",216,--,18
Shivam Infocom,4.3,"Company Culture, Work Life Balance, Salary & Benefits",215,--,3
Texas Instruments,3.9,"Salary & Benefits, Job Security, Skill Development / Learning",215,--,132
Lapiz Digital Services,2.9,"Company Culture, Promotions / Appraisal, Work Life Balance",215,16,13
Indo Nissin Foods,4.0,"Work Life Balance, Work Satisfaction, Company Culture",215,--,7
Patton International,3.7,Job Security,215,5,14
Veolia,4.0,"Company Culture, Work Life Balance, Job Security",215,--,13
Jakson Green,4.3,"Job Security, Company Culture, Work Life Balance",215,--,17
Techahead Software,4.1,"Skill Development / Learning, Company Culture, Work Satisfaction",215,17,38
Sedin Technologies,4.4,"Work Life Balance, Company Culture, Skill Development / Learning",215,7,50
Synthite Industries,4.1,"Company Culture, Work Life Balance, Job Security",215,15,11
ICPA Health Products,3.3,"Promotions / Appraisal, Salary & Benefits, Company Culture",215,36,13
Uni Cards,3.8,"Salary & Benefits, Company Culture",215,15,27
Moople Academy,4.1,"Company Culture, Skill Development / Learning, Work Life Balance",215,7,37
Hinduja Group,3.8,"Company Culture, Work Life Balance",215,--,25
Rustomjee Group,3.9,"Salary & Benefits, Job Security",215,3,21
ZeMoSo Technologies,3.4,Skill Development / Learning,215,29,163
Sarda Energy & Minerals,3.9,"Job Security, Work Life Balance, Company Culture",214,1,11
The Co-operative Bank,3.8,Work Life Balance,214,--,6
Mitsui O.S.K. Lines,4.1,"Work Life Balance, Job Security, Salary & Benefits",214,--,5
SAVA Healthcare,3.8,Work Life Balance,214,64,14
Sun Vacuum Formers,3.9,"Job Security, Skill Development / Learning",214,--,18
Flex Technologies,4.0,"Company Culture, Work Life Balance, Work Satisfaction",214,--,12
MidasCare Pharmaceuticals,3.6,"Promotions / Appraisal, Company Culture, Work Satisfaction",214,--,13
Flyhomes,4.3,"Company Culture, Salary & Benefits, Work Life Balance",214,2,2
Sankey Solutions,3.9,"Skill Development / Learning, Company Culture, Work Satisfaction",214,3,33
Little Millennium,3.8,"Work Life Balance, Skill Development / Learning",214,5,18
KNR Constructions,4.1,"Work Satisfaction, Work Life Balance, Skill Development / Learning",214,--,8
Blue Cross Laboratories,3.8,Company Culture,215,2,14
Pothys,4.1,"Company Culture, Work Life Balance, Work Satisfaction",214,7,11
Colourtex,3.8,"Job Security, Work Life Balance",214,4,11
Optimus Drugs,4.0,"Work Life Balance, Company Culture, Salary & Benefits",214,--,10
Pothys,4.1,"Company Culture, Work Life Balance, Work Satisfaction",214,7,11
Colourtex,3.8,"Job Security, Work Life Balance",214,4,11
STMicroelectronics,4.1,"Work Life Balance, Company Culture, Job Security",213,14,24
Matix Fertilisers & Chemicals,3.6,"Company Culture, Work Satisfaction, Job Security",213,--,23
South Eastern Coalfields,4.3,"Job Security, Skill Development / Learning, Work Life Balance",213,--,8
Ananth Technologies,3.9,"Job Security, Work Satisfaction",213,4,14
Forest Essentials,4.0,"Job Security, Company Culture, Work Life Balance",213,--,18
City Montessori School,3.5,"Skill Development / Learning, Salary & Benefits",213,2,8
Sewa Grih Rin,3.4,"Company Culture, Job Security, Promotions / Appraisal",214,--,7
Bosch Power Tools,4.2,"Company Culture, Work Life Balance, Work Satisfaction",213,--,15
Bharathi Cement,4.0,"Work Life Balance, Work Satisfaction, Job Security",213,--,5
Stratosphere IT Services,3.3,"Job Security, Promotions / Appraisal, Skill Development / Learning",213,5,11
BeatO,3.2,"Job Security, Promotions / Appraisal, Work Satisfaction",213,4,19
OPG Mobility,3.1,"Job Security, Promotions / Appraisal, Company Culture",213,--,14
Zeelab Pharmacy,3.8,Promotions / Appraisal,213,12,48
Dr Mohan's Diabetes Specialities Centre,3.6,Work Life Balance,213,18,19
InMobi,3.2,"Job Security, Promotions / Appraisal, Skill Development / Learning",213,47,41
Galaxy Weblinks,3.9,"Company Culture, Work Life Balance",213,16,16
Netaxis IT Solutions,3.9,"Skill Development / Learning, Promotions / Appraisal, Work Satisfaction",213,4,19
Marquardt,3.6,"Promotions / Appraisal, Salary & Benefits, Company Culture",213,6,15
TPI Composites,4.3,"Company Culture, Work Satisfaction, Skill Development / Learning",213,--,24
Government Medical College,4.0,"Skill Development / Learning, Work Satisfaction, Work Life Balance",213,--,6
Meditab Software,3.2,"Promotions / Appraisal, Company Culture, Work Satisfaction",213,20,29
Metro Brands,3.8,"Promotions / Appraisal, Salary & Benefits",213,13,10
Chrysalis High,4.0,"Skill Development / Learning, Company Culture, Work Life Balance",213,--,17
Fragomen Immigration Services,3.6,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",213,--,17
Vensa Infrastructure,4.2,"Job Security, Salary & Benefits, Company Culture",213,1,18
Jagsonpal Pharmaceuticals,3.6,"Promotions / Appraisal, Salary & Benefits, Company Culture",213,4,15
SGB By BrandSafway,3.9,"Work Life Balance, Salary & Benefits",213,4,21
Appsierra,4.4,"Company Culture, Promotions / Appraisal, Skill Development / Learning",212,21,32
Kanoria Chemicals & Industries,3.9,"Job Security, Work Life Balance",212,--,16
Scyo Decision Services,4.5,"Job Security, Work Life Balance, Company Culture",212,3,24
Pearl Precision Products,3.9,"Company Culture, Work Life Balance, Skill Development / Learning",212,2,8
Ramky Group,4.3,"Job Security, Work Life Balance, Company Culture",212,--,14
WeRize,3.2,"Company Culture, Work Life Balance, Work Satisfaction",219,20,17
U R Rao Satellite Centre,4.2,"Work Life Balance, Company Culture, Work Satisfaction",212,--,11
All India Radio,4.4,"Work Life Balance, Company Culture, Work Satisfaction",212,--,11
Absolute Barbecues,4.0,"Salary & Benefits, Company Culture, Work Life Balance",212,--,9
AGIO Pharmaceuticals,2.8,"Job Security, Promotions / Appraisal, Company Culture",212,33,25
Aia Engineering,4.1,"Job Security, Salary & Benefits, Work Life Balance",212,3,18
Ensure Support Services,4.3,"Company Culture, Skill Development / Learning, Work Life Balance",212,4,5
Cube Highways,4.3,"Company Culture, Job Security, Work Life Balance",212,--,17
Fortis Memorial Research Institute,4.0,"Job Security, Company Culture, Work Life Balance",211,--,5
Genzeon (India) Private Limited,3.8,"Work Life Balance, Company Culture, Skill Development / Learning",212,45,49
Algoworks Technologies,3.3,"Job Security, Promotions / Appraisal, Skill Development / Learning",212,2,28
SkillVertex,3.3,"Job Security, Promotions / Appraisal, Salary & Benefits",212,3,17
Rapid Care Transcription,4.5,"Company Culture, Work Life Balance, Job Security",212,11,56
Helmerich & Payne,3.8,"Work Life Balance, Company Culture",211,1,9
Zamil Air Conditioners,4.0,"Work Life Balance, Job Security, Skill Development / Learning",211,--,11
Unthinkable Solutions,2.7,"Company Culture, Work Satisfaction, Promotions / Appraisal",211,1,62
GENWORKS Health,3.2,"Promotions / Appraisal, Salary & Benefits, Work Life Balance",211,2,17
Jyoti Structures,4.0,"Skill Development / Learning, Salary & Benefits, Work Life Balance",211,3,16
Prakash Industries,3.8,"Job Security, Company Culture, Work Life Balance",211,--,5
Enser Communications,2.8,"Promotions / Appraisal, Job Security, Salary & Benefits",211,5,14
Tricon Infra Buildtech pvt.Ltd,3.0,"Promotions / Appraisal, Company Culture, Work Satisfaction",211,7,16
Ncc Urban Infrastructure,4.1,"Work Life Balance, Job Security, Company Culture",211,2,13
Fernandez Hospital,4.4,"Job Security, Company Culture, Work Life Balance",211,--,6
Hindustan PowerProjects,3.7,"Company Culture, Promotions / Appraisal, Job Security",211,--,10
PrepLadder,2.9,"Job Security, Promotions / Appraisal, Skill Development / Learning",211,11,31
BridgeLabz Solutions,3.4,"Promotions / Appraisal, Salary & Benefits, Job Security",211,--,22
Krishnapatnam Port,3.9,"Job Security, Skill Development / Learning, Work Life Balance",211,--,7
Anri Solutions HR Services,4.0,"Company Culture, Work Life Balance, Skill Development / Learning",211,2,21
RAXA,4.4,"Job Security, Company Culture, Skill Development / Learning",211,1,5
Bioseed,4.1,"Work Life Balance, Company Culture, Job Security",211,--,14
Cleartrip,3.4,"Promotions / Appraisal, Job Security, Work Satisfaction",211,20,24
Cordlife Sciences India,3.6,"Promotions / Appraisal, Salary & Benefits",211,14,13
Flair Writing Instruments,3.7,"Promotions / Appraisal, Company Culture, Work Satisfaction",211,2,14
Tata CLiQ,3.0,"Promotions / Appraisal, Work Satisfaction, Company Culture",211,1,15
Furlenco,3.3,"Job Security, Promotions / Appraisal, Work Life Balance",210,9,22
Pradhan Mantri Kaushal Vikas Yojana,4.0,"Skill Development / Learning, Work Life Balance, Company Culture",210,--,7
Grass Roots Research & Creation,4.7,"Work Life Balance, Skill Development / Learning, Company Culture",210,5,2
Ileads Auxiliary Services,3.0,"Promotions / Appraisal, Salary & Benefits, Company Culture",210,6,18
Savita Oil Technologies,4.2,"Job Security, Work Life Balance, Company Culture",210,4,11
HEPL - A Cavinkare Group Company,3.4,"Promotions / Appraisal, Job Security, Salary & Benefits",210,3,28
Sterling Talent Solutions,3.7,Company Culture,210,--,11
Anand CY Myutec Automotive,3.5,Job Security,210,--,12
Cogent,3.3,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",210,--,20
Elsamex Maintenance Services,4.1,"Work Life Balance, Company Culture, Work Satisfaction",210,--,11
Ishan Technologies,3.6,Promotions / Appraisal,210,23,16
Walter Bushnell,3.2,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",210,--,18
Root Industries,4.0,"Job Security, Work Life Balance, Company Culture",210,70,8
OneBanc Technologies,4.8,"Skill Development / Learning, Salary & Benefits, Company Culture",210,3,40
Chhatrapati Shivaji International Airport,3.5,"Promotions / Appraisal, Company Culture, Work Satisfaction",210,--,11
WovVTech,4.1,"Work Life Balance, Company Culture, Work Satisfaction",210,--,20
Indo Rama Synthetics (i),3.6,"Promotions / Appraisal, Salary & Benefits, Company Culture",211,--,12
VISTRA INTERNATIONAL EXPANSION,3.3,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",210,3,24
TATA MEDICAL CENTER,3.7,"Job Security, Skill Development / Learning",210,11,14
Ashok Iron Works,3.4,"Promotions / Appraisal, Company Culture, Work Satisfaction",210,8,12
Country Club India,3.4,"Promotions / Appraisal, Company Culture, Work Satisfaction",209,--,2
TLC DigiTech Private Limited,3.1,"Promotions / Appraisal, Work Satisfaction, Company Culture",209,19,14
Vinove Software & Services,3.0,"Job Security, Promotions / Appraisal, Work Satisfaction",209,--,46
Pie Infocomm,4.5,"Company Culture, Work Life Balance, Work Satisfaction",209,4,45
BMW Industries,3.5,"Promotions / Appraisal, Salary & Benefits, Company Culture",210,1,10
Kalyani Forge,3.8,"Company Culture, Job Security",209,9,14
Zivame.com,3.6,Skill Development / Learning,209,--,10
ACME Group,4.6,"Salary & Benefits, Work Life Balance, Work Satisfaction",209,--,31
Jm Frictech,3.3,"Company Culture, Promotions / Appraisal, Work Satisfaction",209,3,14
RegisterKaro,3.6,Job Security,209,3,76
Special Technical Services,4.1,"Job Security, Company Culture, Work Life Balance",209,--,11
Square Bpo Services,3.3,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",209,9,13
ARB Bearings,3.5,"Promotions / Appraisal, Company Culture, Work Satisfaction",210,--,10
Verticurl,3.1,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",209,--,11
Cotecna Inspection India,3.6,"Promotions / Appraisal, Company Culture, Work Satisfaction",209,5,9
KPR Mill,3.9,"Company Culture, Work Life Balance, Salary & Benefits",209,--,11
MEDICO Healthcare Services & Technologies,3.0,"Company Culture, Promotions / Appraisal, Job Security",209,--,26
Third wave Coffee Roasters,3.6,Promotions / Appraisal,210,--,19
The Mission Hospital,3.8,"Job Security, Skill Development / Learning",209,9,7
Programmers.io,4.0,"Work Life Balance, Salary & Benefits, Company Culture",209,13,30
Chiripal Poly Films,4.1,"Salary & Benefits, Work Life Balance, Company Culture",209,2,18
Integrated Personnel Services Limited,4.0,"Work Life Balance, Company Culture, Work Satisfaction",209,26,17
Torque Pharmaceuticals,3.8,"Promotions / Appraisal, Salary & Benefits",209,8,11
Information Services Group,3.8,"Work Life Balance, Company Culture",209,2,23
Khanna Paper Mills,4.0,"Salary & Benefits, Company Culture, Work Life Balance",209,--,11
UGC Supply Chain Solutions,2.9,"Promotions / Appraisal, Salary & Benefits, Company Culture",209,--,6
Bondada Engineering,3.6,"Promotions / Appraisal, Job Security, Work Satisfaction",209,64,29
Kinetic Green Energy And Power Solutions,3.1,"Promotions / Appraisal, Work Satisfaction, Company Culture",209,17,23
EagleBurgmann,4.2,"Job Security, Work Life Balance, Company Culture",209,--,16
Biostadt,4.2,"Company Culture, Work Life Balance, Job Security",210,--,12
MeritNation,3.2,"Job Security, Work Satisfaction, Promotions / Appraisal",208,--,7
Jagran Prakashan,3.7,"Promotions / Appraisal, Company Culture, Work Satisfaction",208,--,8
LetsTransport,3.6,"Promotions / Appraisal, Job Security, Company Culture",208,--,20
Prime Focus,3.9,"Promotions / Appraisal, Salary & Benefits, Company Culture",208,--,1
Su-Kam Power Systems,3.3,"Job Security, Company Culture, Skill Development / Learning",208,--,5
MMTC-PAMP,3.7,Work Life Balance,208,--,14
ContinuServe Softech India,3.2,"Promotions / Appraisal, Work Satisfaction, Company Culture",208,--,19
Shaw Toyota,4.9,"Company Culture, Work Life Balance, Work Satisfaction",208,--,28
EMCO,3.7,Job Security,208,--,6
IDMC,3.7,Job Security,208,2,7
Knest Manufacturers,3.4,"Salary & Benefits, Work Satisfaction, Promotions / Appraisal",208,1,13
Girnar Care,3.5,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",208,--,19
Gensol Engineering,3.7,Salary & Benefits,208,--,15
Nahars Engineering India,3.2,"Company Culture, Work Life Balance, Work Satisfaction",208,--,15
Ziff Davis Performance Marketing,3.6,"Job Security, Promotions / Appraisal",208,1,4
Satyesh Brinechem,3.1,"Job Security, Promotions / Appraisal, Work Life Balance",208,1,29
BoAt,4.2,"Work Life Balance, Company Culture, Job Security",217,2,10
Paramatrix Technologies,4.1,"Skill Development / Learning, Company Culture, Work Life Balance",208,17,13
AWC Software,3.8,Work Life Balance,208,--,15
Maxinfra,4.1,"Work Life Balance, Company Culture, Work Satisfaction",208,--,16
Red FM 93.5,3.9,Work Life Balance,208,--,8
Navitas Life Sciences,3.6,Job Security,208,11,15
Axio,3.7,Company Culture,208,1,8
Spacewood,3.4,"Promotions / Appraisal, Salary & Benefits, Company Culture",208,7,11
Inchcape Shipping Services,3.4,"Promotions / Appraisal, Skill Development / Learning, Job Security",208,28,24
AARGEE STAFFING SERVICES,3.7,"Promotions / Appraisal, Job Security, Salary & Benefits",208,--,6
Manipal Business Solutions,3.6,"Promotions / Appraisal, Job Security, Skill Development / Learning",208,1,14
Microlink Solutions,3.9,Company Culture,208,1,12
Rajan Technocast,4.8,"Work Life Balance, Work Satisfaction, Job Security",208,1,10
Placementindia.com,4.9,"Company Culture, Work Life Balance, Work Satisfaction",208,7,4
Vishnu Chemicals,4.0,"Job Security, Work Life Balance",208,16,20
Busy Infotech,3.9,"Salary & Benefits, Company Culture",208,15,14
SpeedLabs,3.6,"Promotions / Appraisal, Job Security, Salary & Benefits",208,15,14
John Crane Sealing Systems India,3.5,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",208,63,21
Alp Consulting,3.5,"Promotions / Appraisal, Salary & Benefits, Job Security",207,26,22
Rotostat Services,3.8,"Promotions / Appraisal, Job Security, Company Culture",207,7,18
International Certification Services,3.3,"Promotions / Appraisal, Job Security, Salary & Benefits",207,7,7
Carzonrent,3.3,"Promotions / Appraisal, Company Culture, Work Satisfaction",207,--,3
Cummins Generator Technologies,4.1,"Company Culture, Work Life Balance, Skill Development / Learning",207,--,12
HOLITECH INDIA,4.1,"Skill Development / Learning, Company Culture, Work Life Balance",207,--,27
YouTube,4.5,"Work Satisfaction, Skill Development / Learning, Work Life Balance",207,--,10
Qdigi Services,3.2,"Promotions / Appraisal, Job Security, Salary & Benefits",207,1,12
CyberSWIFT Infotech,3.0,"Work Satisfaction, Job Security, Promotions / Appraisal",207,2,10
Amrita Vishwa Vidyapeetham,3.7,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",207,89,17
Qi Spine Clinic,3.1,"Company Culture, Promotions / Appraisal, Work Satisfaction",207,5,19
Garware Hi-Tech Films,4.0,"Job Security, Work Life Balance, Work Satisfaction",207,--,7
Analytix Business Solutions,3.4,"Promotions / Appraisal, Work Satisfaction, Job Security",207,13,26
Chitkara University,4.0,"Work Life Balance, Work Satisfaction, Company Culture",207,13,17
RAKS Pharma,4.2,"Company Culture, Work Life Balance, Job Security",208,--,10
Putzmeister Concrete Machines,3.6,"Promotions / Appraisal, Work Satisfaction, Job Security",207,50,18
BetterPlace Safety Solutions,3.5,"Promotions / Appraisal, Job Security, Skill Development / Learning",207,6,19
Teachers Insurance and Annuity Association of America,3.8,"Work Life Balance, Salary & Benefits, Company Culture",207,--,6
Ankura Hospital,3.8,"Promotions / Appraisal, Salary & Benefits, Job Security",207,50,16
Taggd,3.3,"Promotions / Appraisal, Work Life Balance, Job Security",207,17,12
FAIRWAY ENTERPRISES,3.9,"Salary & Benefits, Work Life Balance",207,--,15
NOVO Medisciences,3.4,"Job Security, Company Culture, Work Life Balance",207,10,27
SPRAY ENGINEERING DEVICES,4.2,"Job Security, Company Culture, Work Life Balance",209,3,14
Yashi Consulting Services,3.3,"Job Security, Promotions / Appraisal, Company Culture",207,--,11
Gujarat Narmada Valley Fertilizers & Chemicals,4.3,"Work Life Balance, Company Culture, Job Security",207,--,10
Dunnhumby,3.8,"Work Life Balance, Company Culture, Job Security",207,19,31
RateGain,3.8,Work Life Balance,207,34,23
Dunnhumby,3.8,"Work Life Balance, Company Culture, Job Security",207,19,31
Ts Tech Sun India,4.1,"Work Life Balance, Salary & Benefits, Company Culture",207,--,16
OSI Digital,3.5,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",207,30,16
Decimal Technologies,2.8,"Salary & Benefits, Promotions / Appraisal, Job Security",206,--,34
Koye Pharmaceuticals,3.2,"Promotions / Appraisal, Job Security, Salary & Benefits",206,--,8
AONE OUTSOURCING SOLUTIONS,4.7,"Skill Development / Learning, Company Culture, Work Life Balance",206,--,19
Fleet Management,4.0,"Company Culture, Job Security, Work Life Balance",206,30,21
Moody's,4.0,"Work Life Balance, Company Culture, Salary & Benefits",206,--,28
HTL,3.6,"Promotions / Appraisal, Company Culture, Job Security",206,7,9
John Deere Financial,4.3,"Company Culture, Work Life Balance, Skill Development / Learning",206,--,14
ASSA ABLOY,3.4,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",206,1,22
Wanbury,3.5,"Promotions / Appraisal, Skill Development / Learning, Company Culture",206,3,6
Geo Chem Laboratories,3.7,"Promotions / Appraisal, Salary & Benefits, Company Culture",206,2,12
Ajax Engineering,4.0,"Work Life Balance, Company Culture",206,5,7
Beri Udyog,3.8,Promotions / Appraisal,206,1,17
Mercurius Advisory Services,4.2,"Company Culture, Work Life Balance, Job Security",206,23,30
Excellon Software,4.2,"Company Culture, Work Life Balance, Salary & Benefits",206,8,15
Texspin Bearings,4.1,"Work Life Balance, Skill Development / Learning, Company Culture",206,--,17
NATIONAL SKILL DEVELOPMENT CORPORATION,3.5,"Promotions / Appraisal, Company Culture, Work Satisfaction",206,5,24
UL Solutions,3.9,"Work Life Balance, Company Culture",206,25,14
Innovalance Learning Systems,3.2,"Promotions / Appraisal, Work Satisfaction, Job Security",206,--,35
Tci Freight,4.1,"Company Culture, Skill Development / Learning, Work Life Balance",206,6,13
Chaitanya Projects Consultancy,3.9,Work Life Balance,207,5,16
C DOT,3.8,"Work Life Balance, Job Security",206,--,34
Relevantz Technology Services,3.7,"Work Life Balance, Salary & Benefits",206,28,31
DelaPlex Software,4.1,"Work Life Balance, Skill Development / Learning, Company Culture",206,25,31
Ebixcash World Money,3.6,"Promotions / Appraisal, Salary & Benefits, Company Culture",206,11,16
Bodal Chemicals,3.5,"Promotions / Appraisal, Company Culture, Salary & Benefits",206,7,19
Crimson Interactive,2.6,"Promotions / Appraisal, Work Life Balance, Work Satisfaction",206,8,20
Mold-Tek Technologies,3.5,"Promotions / Appraisal, Salary & Benefits, Company Culture",205,11,12
SITA,3.9,"Work Life Balance, Company Culture",205,28,29
Development Consultants,3.3,"Work Life Balance, Job Security",205,--,11
Career Launcher,3.7,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",205,8,7
COWI,4.1,"Work Life Balance, Company Culture, Job Security",205,6,9
Weatherford,3.6,Work Life Balance,205,8,16
Aneja Associates,3.2,"Promotions / Appraisal, Company Culture, Salary & Benefits",205,2,16
Prem Henna,3.4,"Job Security, Promotions / Appraisal, Company Culture",205,--,4
Bombay Dyeing,3.8,"Work Life Balance, Job Security",205,--,9
TEOCO Software,3.9,"Work Life Balance, Company Culture, Job Security",205,3,16
Bilt Graphic Paper Products,3.7,"Job Security, Work Life Balance",205,8,13
Vidya Mandir Classes,3.5,Work Life Balance,205,1,8
Bilt Graphic Paper Products,3.7,"Job Security, Work Life Balance",205,8,13
Brainium Information Technologies,3.8,"Work Life Balance, Skill Development / Learning",205,2,9
Magicrete Building Solutions,3.8,Job Security,205,4,23
TEOCO Software,3.9,"Work Life Balance, Company Culture, Job Security",205,3,16
Aarti Pharmalabs,3.7,Job Security,220,1,21
ASP OL Media,4.2,"Salary & Benefits, Company Culture, Work Satisfaction",205,4,71
Freedom Employability Academy,4.1,"Skill Development / Learning, Company Culture, Work Life Balance",206,--,25
Oasis Fertility,3.9,"Work Life Balance, Skill Development / Learning, Salary & Benefits",206,8,17
AISATS,3.4,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",205,--,11
Biryani By Kilo,4.2,"Work Life Balance, Company Culture, Skill Development / Learning",205,--,6
Keolis Hyderabad Metro,3.9,"Job Security, Work Life Balance",205,--,12
Teleone,3.6,"Promotions / Appraisal, Salary & Benefits, Company Culture",205,--,12
Anglo-Eastern Ship Management,4.1,"Skill Development / Learning, Company Culture, Work Life Balance",205,4,17
Moreish Food,3.1,"Company Culture, Promotions / Appraisal, Work Satisfaction",205,4,21
Rubamin,4.0,"Job Security, Work Life Balance, Company Culture",205,5,18
Rossari Biotech,3.9,Salary & Benefits,205,3,10
