name,rating,rating_values,reviews,jobs,interviews
GlobalLogic,3.5,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",5.6k,41,677
Shapoorji Pallonji Group,4.1,"Job Security, Company Culture, Work Life Balance",5.6k,98,420
Standard Chartered,3.6,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",5.6k,--,321
Apollo Hospitals,4.1,"Job Security, Skill Development / Learning, Company Culture",5.5k,177,478
Mahindra Finance,3.9,Promotions / Appraisal,5.5k,455,217
UST,3.7,Work Life Balance,5.5k,222,587
Bosch Global Software Technologies,3.7,"Work Life Balance, Company Culture, Job Security",5.5k,36,387
Ashok Leyland,4.0,"Work Life Balance, Skill Development / Learning, Company Culture",5.5k,1,317
Swiggy,3.7,"Promotions / Appraisal, Job Security, Work Satisfaction",5.4k,280,565
Citicorp,3.7,Salary & Benefits,5.4k,--,622
Hero MotoCorp,4.1,"Work Life Balance, Company Culture, Work Satisfaction",5.3k,2,407
CGI Group,4.0,"Work Life Balance, Company Culture, Job Security",5.3k,876,556
Cyient,3.6,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",5.2k,110,331
SBI Cards & Payment Services,3.6,"Promotions / Appraisal, Work Satisfaction, Company Culture",5.2k,74,303
Kalpataru Projects International,4.2,"Job Security, Skill Development / Learning, Salary & Benefits",5.1k,3,327
BNY,3.6,"Promotions / Appraisal, Job Security, Work Satisfaction",5.1k,2,395
JustDial,3.5,"Promotions / Appraisal, Job Security, Work Satisfaction",5.1k,57,392
IQVIA,3.7,"Work Life Balance, Job Security",5.1k,32,547
NTT DATA,3.8,Work Life Balance,5.1k,226,742
Nagarjuna Construction Company,4.0,"Job Security, Company Culture, Work Life Balance",5k,15,436
SBI Life Insurance Company,3.7,Job Security,5k,16,308
TVS Motor,3.9,"Job Security, Skill Development / Learning, Salary & Benefits",5k,71,396
Schneider Electric,4.1,"Company Culture, Work Life Balance, Job Security",5k,37,452
CBRE,4.1,"Company Culture, Work Life Balance, Job Security",5k,28,343
Persistent Systems,3.6,"Promotions / Appraisal, Job Security, Work Satisfaction",4.9k,362,707
vivo,4.1,"Skill Development / Learning, Company Culture, Work Life Balance",4.9k,12,235
Atos,3.8,Work Life Balance,4.9k,102,407
State Bank of India,3.8,"Job Security, Skill Development / Learning, Salary & Benefits",4.9k,14,308
Ecom Express,4.0,"Work Life Balance, Company Culture, Work Satisfaction",4.8k,--,263
KEC International,4.0,"Job Security, Salary & Benefits, Company Culture",4.8k,8,418
Eviden,3.6,Work Life Balance,4.8k,8,316
Amdocs,3.6,"Promotions / Appraisal, Job Security, Work Satisfaction",4.8k,8,559
JBM Group,3.9,"Job Security, Skill Development / Learning",4.7k,59,348
Varun Beverages,4.0,"Job Security, Work Life Balance, Skill Development / Learning",4.7k,46,345
Nagarro,3.9,"Company Culture, Work Life Balance",4.7k,942,831
ITC Infotech,3.7,Work Life Balance,4.7k,87,412
Bosch,4.1,"Company Culture, Work Life Balance, Skill Development / Learning",4.6k,--,377
Randstad,3.7,"Promotions / Appraisal, Job Security, Skill Development / Learning",4.6k,7,327
EY Global Delivery Services ( EY GDS),3.5,Job Security,4.6k,13,879
Utkarsh Small Finance Bank,3.6,"Promotions / Appraisal, Company Culture, Work Satisfaction",4.5k,40,300
Home Credit Finance,4.0,"Work Life Balance, Company Culture, Skill Development / Learning",4.5k,107,147
Hewlett Packard Enterprise,4.1,"Company Culture, Work Life Balance, Work Satisfaction",4.5k,246,267
Aditya Birla Fashion and Retail,4.1,"Job Security, Skill Development / Learning, Company Culture",4.5k,78,266
Mahindra Logistics,3.7,"Promotions / Appraisal, Salary & Benefits",4.5k,--,252
L&T Finance,3.9,"Salary & Benefits, Job Security",4.5k,--,216
CARS24,3.4,"Job Security, Promotions / Appraisal, Company Culture",4.5k,104,406
